City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,gadzhiyevo,69.2551,33.3362,8.34,57,5,4.69,RU,1685051771
117,conde,-7.2597,-34.9075,26.7,78,75,4.12,BR,1685051675
118,mubende,0.5606,31.39,17.45,97,61,0.54,UG,1685051771
119,muravlenko,63.7898,74.523,8.13,58,26,4.13,RU,1685051771
120,longyearbyen,78.2186,15.6401,-0.09,93,100,9.77,SJ,1685051771
121,zhuji,29.7188,120.2423,20.25,88,100,0.96,CN,1685051772
122,padang,-0.9492,100.3543,25.03,90,98,1.81,ID,1685051772
123,bazarak,35.3129,69.5152,9.74,46,0,4.87,AF,1685051772
124,juneau,58.3019,-134.4197,12.45,97,100,2.06,US,1685051772
125,bonthe,7.5264,-12.505,27.15,82,100,2.31,SL,1685051773
126,ust-nera,64.5667,143.2,4.12,61,35,2.01,RU,1685051773
127,puerto baquerizo moreno,-0.9,-89.6,26.13,76,44,5.24,EC,1685051774
128,mahina,-17.5065,-149.489,29.87,62,20,1.03,PF,1685051686
129,loango,-4.6719,11.8312,25.81,89,75,3.6,CG,1685051717
130,laguna,38.421,-121.4238,27.4,50,0,6.17,US,1685051775
131,la passe,45.5549,-0.8967,17.13,76,0,8.59,FR,1685051682
132,samfya,-11.3649,29.5565,16.58,59,0,2.98,ZM,1685051775
133,namibe,-15.1961,12.1522,20.14,74,0,4.37,AO,1685051775
134,gambela,8.25,34.5833,21.53,93,100,2.68,ET,1685051776
135,zeya,53.75,127.2667,6.4,95,100,2.65,RU,1685051776
136,port mathurin,-19.6833,63.4167,25.37,77,11,5.5,MU,1685051776
137,diffa,13.3154,12.6113,34.18,28,74,3.4,NE,1685051776
138,shimoda,34.6667,138.95,20.61,66,51,1.25,JP,1685051777
139,constantia,44.1833,28.65,16.5,88,59,2.99,RO,1685051777
140,novi pazar,43.1367,20.5122,13.03,96,69,1.59,RS,1685051777
141,jendouba,36.5011,8.7802,20.01,68,40,1.52,TN,1685051777
142,nyala,12.05,24.8833,31.63,23,35,0.8,SD,1685051778
143,millerovo,48.9226,40.3967,16.39,80,57,0.42,RU,1685051778
144,margaret river,-33.95,115.0667,8.08,79,0,3.27,AU,1685051613
145,birobidzhan,48.8,132.95,15.95,72,100,3.31,RU,1685051778
146,daru,-9.0763,143.2092,25.52,87,100,5.86,PG,1685051778
147,port elizabeth,-33.918,25.5701,13.16,91,40,7.72,ZA,1685051779
148,lebu,-37.6167,-73.65,12.24,85,62,8.47,CL,1685051779
149,tsiombe,-25.3,45.4833,19.48,72,2,5.01,MG,1685051619
150,at taj,24.2049,23.2857,30.36,12,98,2.32,LY,1685051701
151,kafir qala,34.6667,61.0667,22.1,17,14,4.4,AF,1685051780
152,sinop,41.7711,34.8709,12.8,89,98,1.63,TR,1685051780
153,timimoun,29.2639,0.231,30.21,12,0,2.06,DZ,1685051780
154,holualoa,19.6228,-155.9522,25.86,79,75,5.66,US,1685051781
155,pacasmayo,-7.4006,-79.5714,24.24,73,86,7.57,PE,1685051781
156,codrington,-38.2667,141.9667,10.78,67,100,6.49,AU,1685051781
157,pangody,65.85,74.4859,7.77,63,100,5.44,RU,1685051634
158,buala,-8.145,159.5921,25.22,90,100,3.16,SB,1685051781
159,pyinmana,19.7333,96.2167,24.35,85,11,1.94,MM,1685051782
160,nema,57.5067,50.5011,16.62,71,57,3.07,RU,1685051782
161,yaren,-0.5472,166.916,28.52,69,60,0.82,NR,1685051782
162,ketchikan,55.3422,-131.6461,18.26,59,75,4.63,US,1685051782
163,hargeysa,9.56,44.065,21.84,72,62,7.07,SO,1685051783
164,sitka,57.0531,-135.33,12.94,88,75,1.54,US,1685051639
165,nazare,-13.035,-39.0144,21.84,98,28,1.34,BR,1685051783
166,laborde,-33.1532,-62.8566,21.57,91,96,2.77,AR,1685051783
167,colonia,50.9333,6.95,13.3,76,0,1.03,DE,1685051784
168,sengkang,-4.1279,120.0297,23.21,95,96,1.09,ID,1685051784
169,manitowoc,44.0667,-87.8001,16.36,36,0,3.6,US,1685051784
170,turpan,42.9333,89.1667,25.54,22,98,4.2,CN,1685051784
171,saurimo,-9.6608,20.3916,20.88,60,7,1.87,AO,1685051785
172,lamu,-2.2717,40.902,26.12,79,56,5.47,KE,1685051785
173,ilhabela,-23.7781,-45.3581,21.07,87,1,2.92,BR,1685051691
174,avarua,-21.2078,-159.775,25.03,88,15,3.09,CK,1685051607
175,pohja,60.0963,23.5276,11.03,58,67,2.38,FI,1685051786
176,santa ana,33.7456,-117.8678,24.52,63,75,5.14,US,1685051786
177,praia da vitoria,38.7333,-27.0667,18.14,82,40,5.41,PT,1685051634
178,touros,-5.1989,-35.4608,25.86,85,82,6.08,BR,1685051786
179,pocone,-16.2567,-56.6228,28.49,47,75,2.53,BR,1685051787
180,aykhal,66.0,111.5,-1.39,86,100,2.41,RU,1685051654
181,sur,22.5667,59.5289,33.21,49,85,7.59,OM,1685051787
182,tateyama,34.9833,139.8667,19.13,63,17,3.86,JP,1685051665
183,whitehorse,60.7161,-135.0538,15.57,40,100,5.66,CA,1685051371
184,springbok,-29.6643,17.8865,5.9,91,54,3.02,ZA,1685051788
185,port augusta,-32.5,137.7667,10.65,69,80,3.65,AU,1685051788
186,iskateley,67.6803,53.1512,15.92,87,72,7.7,RU,1685051788
187,northcote,-37.7667,145.0,9.68,86,0,4.63,AU,1685051789
188,punta arenas,-53.15,-70.9167,2.06,75,40,4.63,CL,1685051789
189,alvorada,-12.48,-49.1247,26.73,38,7,2.6,BR,1685051790
190,suva,-18.1416,178.4415,21.71,94,75,3.6,FJ,1685051790
191,port-vila,-17.7338,168.3219,20.78,83,20,1.03,VU,1685051790
192,nezhinka,51.7676,55.3694,12.09,50,0,2.0,RU,1685051790
193,conduaga,8.862,117.4893,25.97,86,87,0.51,PH,1685051640
194,guatrache,-37.6678,-63.5302,16.99,65,99,2.43,AR,1685051791
195,mbandaka,0.0487,18.2603,21.52,95,100,1.78,CD,1685051791
196,jiwani,25.05,61.7417,29.62,85,9,5.53,PK,1685051791
197,sangmelima,2.9333,11.9833,20.58,98,93,1.21,CM,1685051792
198,malmberget,67.1753,20.6549,2.07,66,97,3.33,SE,1685051792
199,tangzhai,34.4328,116.5911,19.11,69,69,2.92,CN,1685051792
200,skeldon,5.8833,-57.1333,25.72,92,75,2.06,GY,1685051792
201,port alfred,-33.5906,26.891,12.88,90,78,3.13,ZA,1685051792
202,sao sepe,-30.1606,-53.5653,19.36,75,0,2.35,BR,1685051793
203,magadan,59.5667,150.8,6.41,86,27,0.91,RU,1685051793
204,fort st. john,56.2499,-120.8529,18.94,42,75,1.54,CA,1685051793
205,antsiranana,-12.2787,49.2917,22.26,91,2,2.45,MG,1685051793
206,porto novo,6.4965,2.6036,28.9,84,76,2.98,BJ,1685051794
207,papatowai,-46.5619,169.4708,13.52,66,100,4.26,NZ,1685051606
208,ann arbor,42.2776,-83.7409,19.03,36,0,5.14,US,1685051611
209,loen,7.7601,168.2307,28.25,78,99,7.43,MH,1685051794
210,yoakum,29.2878,-97.1519,31.08,50,60,3.63,US,1685051795
211,severo-yeniseyskiy,60.3725,93.0408,-1.33,95,39,1.8,RU,1685051795
212,la gi,10.6667,107.7833,27.08,81,98,3.02,VN,1685051795
213,yelwa,8.8333,9.6333,30.18,57,77,3.52,NG,1685051795
214,hamilton,39.1834,-84.5333,22.47,30,0,6.17,US,1685051440
215,forecariah,9.4306,-13.0881,24.52,96,100,1.35,GN,1685051796
216,mkushi,-13.6202,29.3939,14.7,57,0,2.13,ZM,1685051796
217,cherepovets,59.1333,37.9,11.24,86,24,2.57,RU,1685051796
218,yanbu,24.0891,38.0637,31.02,62,0,0.0,SA,1685051796
219,midvagur,62.0511,-7.1939,8.46,81,75,10.8,FO,1685051796
220,jamestown,42.097,-79.2353,17.51,52,0,6.69,US,1685051615
221,qom,34.6401,50.8764,27.37,28,100,3.37,IR,1685051798
222,myeik,12.4333,98.6,27.35,81,100,3.12,MM,1685051798
223,oneonta,42.4529,-75.0638,17.12,49,6,4.72,US,1685051798
224,mhamid,29.82,-5.72,27.07,13,15,3.55,MA,1685051799
225,mitu,1.1983,-70.1733,25.4,96,89,0.77,CO,1685051799
226,dinguiraye,11.3,-10.7167,21.71,89,100,0.95,GN,1685051799
227,altamira,-3.2033,-52.2064,29.05,74,20,2.06,BR,1685051799
228,bathsheba,13.2167,-59.5167,29.34,74,40,4.63,BB,1685051804
229,puerto asis,0.5133,-76.5007,27.52,76,70,0.49,CO,1685051805
230,hadibu,12.65,54.0333,29.19,71,1,2.6,YE,1685051712
231,hammerfest,70.6634,23.6821,6.25,56,75,8.75,NO,1685051805
232,maragogi,-9.0122,-35.2225,25.37,82,4,3.71,BR,1685051805
233,penzance,50.1186,-5.5371,14.38,87,43,4.69,GB,1685051806
234,wad rawah,15.1603,33.1397,35.85,14,2,4.1,SD,1685051806
235,la'ie,21.6477,-157.9253,27.98,67,85,3.58,US,1685051806
236,cabo san lucas,22.8909,-109.9124,33.12,30,75,3.6,MX,1685051608
237,tobelo,1.7284,128.0095,26.03,87,100,2.54,ID,1685051806
238,thurso,58.5927,-3.5259,9.36,78,46,5.28,GB,1685051807
239,ilulissat,69.2167,-51.1,-0.51,74,2,0.46,GL,1685051807
240,ulladulla,-35.35,150.4667,10.95,85,100,4.56,AU,1685051807
241,qaqortoq,60.7167,-46.0333,0.77,100,100,0.61,GL,1685051807
242,castro-urdiales,43.3829,-3.2204,13.12,90,51,0.79,ES,1685051807
